Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Свириденко,Кирило,Григорович,Ч,1986-10-26,Психолог,село Ужгород,"проспект Амбулаторний, буд. 2 кв. 991, Скалат, 44273",+380 16 326-36-25,kozakorysia@example.org
Приходько,Святослав,Сергійович,Ч,1950-06-11,Скульптор,місто Гірник,"шосе Шота Руставелі, буд. 6, Дубно, 72832",+380 51 252-85-67,fediriushchenko@example.com
Удовенко,Гліб,Андрійович,Ч,1956-10-06,Живописець,хутір Селидове,"шосе Заможна, буд. 7 кв. 082, Путивль, 81256",794-54-76,orysia00@example.net
Євдокименко,Христина,Дмитрівна,Ж,1975-01-11,Кінорежисер,хутір Корсунь-Шевченківський,"сквер Сабанський, буд. 28, Бібрка, 27721",+380 30 305-72-78,kbabychenko@example.net
Гаврилишина,Єлисавета,Миколаївна,Ж,1950-10-27,Парфюмер,хутір Лохвиця,"парк Хотинський, буд. 46, Новодністровськ, 51384",+380 71 693 68 60,bkozak@example.com
Акименко,Надія,Юріївна,Ж,1974-05-29,Паблік рилейшнз,село Сокологірськ,"площа Гіацинтовий, буд. 38 кв. 221, Дніпрорудне, 98442",+380 (78) 341-98-08,vernyhoramykhailo@example.net
Гоголь,Іван,Максимович,Ч,2011-01-19,Машиніст,місто Могилів-Подільський,"парк Василя Фащенка, буд. 8, Долинська, 17012",042 38 02,udovychenkozlatoslava@example.net
Михалюк,Ганна,Андріївна,Ж,1990-08-06,Єгер,місто Білогірськ,"проспект Учнівська, буд. 373, Виноградів, 74421",886 74 34,aleksiichukvadym@example.net
Атрощенко,Хома,Іванович,Ч,1982-06-15,Льотчик,село Житомир,"проспект Лінія 24-та, буд. 22 кв. 0, Хрестівка, 12015",+380 45 638 49 71,irenazaporozhets@example.net
Черінько,Онисим,Степанович,Ч,1983-03-06,Паралегал,село Середина-Буда,"провулок Літній, буд. 79 кв. 66, Заставна, 39101",855-87-91,havrylo07@example.com
Деряжний,Прохір,Юрійович,Ч,1951-02-19,Стиліст,селище Львів,"набережна Гранатний, буд. 9 кв. 6, Миколаїв, 17852",661 30 36,vladyslav27@example.net
Батіг,Владислав,Григорович,Ч,1976-05-28,Диригент,місто Карлівка,"вулиця Фонтанська дорога, буд. 2, Жданівка, 31851",862-61-76,anastasiiazatovkaniuk@example.org
Атрощенко,Віра,Петрівна,Ж,1958-12-15,Графік,місто Кодима,"проспект Грецька, буд. 942 кв. 81, Ківерці, 06747",+380 83 301-90-78,elaba@example.org
Баштан,Гліб,Богданович,Ч,1970-11-28,Інженер,місто Глиняни,"шосе Фонтанська дорога, буд. 1, Старий Крим, 68741",067 634 27 80,fsaienko@example.net
Архипенко,Августин,Вікторович,Ч,1949-03-30,Секретар,село Дубровиця,"сквер Михайла Омеляновича-Павленка, буд. 63, Бахмут, 66110",306 54 03,parmenvenhrynovych@example.org
Козаченко,Едуард,Ігорович,Ч,1989-11-07,Маркетолог,селище Вознесенськ,"сквер Яна Длугоша, буд. 7, Скадовськ, 73366",+380 73 754-75-10,nestortelizhenko@example.com
Овсієнко,Ада,Андріївна,Ж,1977-02-01,Мовознавець,селище Малин,"шосе Аркаса Миколи, буд. 56, Іллінці, 62927",+380 (99) 500-88-00,vhrytsenko@example.net
Захаренко,Еріка,Богданівна,Ж,1955-05-12,Промисловець,селище Новоазовськ,"парк Суперфосфатна, буд. 0 кв. 7, Борислав, 34514",032 818 38 71,pavlykandrii@example.org
Палій,Зорян,Тарасович,Ч,1965-02-16,Соціолог,місто Свалява,"площа Аптекарський, буд. 8 кв. 9, Старий Крим, 36306",+380 (19) 011-80-31,liubov19@example.net
Непорожній,Вікторія,Юріївна,Ж,1948-11-05,Клавішник,селище Донецьк,"узвіз Фестивальний, буд. 99 кв. 57, Рубіжне, 15600",024 889-50-68,tsiupatetiana@example.net
Хмара,Володимир,Сергійович,Ч,1946-11-22,Прокурор,місто Ямпіль,"вулиця Лузанівський, буд. 189 кв. 27, Овруч, 17031",074 117 47 66,qbabak@example.org
Остапчук,Леонід,Максимович,Ч,1956-10-03,Кінорежисер,село Кипуче,"провулок Йосипа Тимченка, буд. 1 кв. 18, Чортків, 11578",083 886 67 42,tshukhevych@example.net
Романчук,Петро,Андрійович,Ч,1989-01-09,Мінералог,хутір Благовіщенське,"набережна Матеріальний 1-й, буд. 86, Ходорів, 40111",+380 60 696-91-72,vashchenkoanita@example.net
Дрозд,Трохим,Дмитрович,Ч,1998-06-16,М'ясник,хутір Жовті Води,"проспект Тупиковий 1-й, буд. 290, Устилуг, 35704",+380 78 391-31-43,ivanchenkoomelian@example.org
Михалюк,Святослава,Олегівна,Ж,1947-05-22,Громадський діяч,місто Часів Яр,"шосе Красний, буд. 1, Арциз, 60763",+380 47 118 60 22,qbalaban@example.com
Бабʼюк,Данна,Ігорівна,Ж,1976-07-17,Нотаріус,село Оріхів,"узвіз Кавказька, буд. 28, Путивль, 21718",926 33 16,tryhubodarka@example.org
Базилевський,Ігнат,Дмитрович,Ч,1981-11-05,Адвокат,хутір Чортків,"вулиця Тупиковий, буд. 06, Вільнянськ, 65773",081 758-45-61,panas51@example.net
Уманець,Роман,Васильович,Ч,1982-04-15,Бухгалтер,місто Роздільна,"вулиця Наявний 1-й, буд. 732, Лубни, 70671",+380 46 860-53-69,danvernyhora@example.net
Тягнибок,Захар,Дмитрович,Ч,1953-03-06,Скульптор,селище Докучаєвськ,"шосе Сталепрокатна, буд. 49, Болехів, 72421",633 52 74,udanyliuk@example.net
Удовенко,Віра,Вікторівна,Ж,2010-06-14,Художник,місто Перемишляни,"набережна Газовий, буд. 2, Інкерман, 26834",+380 69 397-99-87,kamilla50@example.org
Рябець,Єва,Ігорівна,Ж,1993-09-05,Різноробочий,місто Бобровиця,"шосе Радіо, буд. 2, Підгородне, 28532",+380 98 271-68-81,isaievychvasylyna@example.net
Лемешко,Еріка,Іванівна,Ж,1958-11-13,Фармацевт,місто Семенівка,"узвіз Богдана Хмельницького, буд. 7 кв. 8, Калуш, 16116",+380 69 106 63 61,erika55@example.org
Ткач,Охрім,Сергійович,Ч,1960-05-18,Флорист,хутір Новодружеськ,"проспект Танкістів, буд. 59 кв. 83, Євпаторія, 54402",+380 (39) 262-18-19,ravdieienko@example.com
Пустовіт,Олесь,Романович,Ч,1984-12-06,Стропальник,місто Долинська,"шосе Санітарна, буд. 5, Мала Виска, 09723",056 057 94 52,semen83@example.com
Аронець,Богданна,Миколаївна,Ж,1949-09-07,Композитор,хутір Дебальцеве,"шосе Болградська, буд. 33 кв. 49, Снятин, 88848",+380 07 677-66-64,echerednyk@example.net
Христенко,Ірина,Леонідівна,Ж,1958-08-31,Гірник,селище Кіцмань,"шосе Пассіонарії, буд. 1, Харків, 06295",+380 75 381-31-30,darynazatula@example.net
Терещенко,Леопольд,Богданович,Ч,1967-09-06,Мистецтвознавець,місто Біляївка,"проспект Петра Лещенка, буд. 005, Коростишів, 54942",048 600 40 10,xprokopovych@example.net
Чуйко,Семен,Олегович,Ч,2006-07-06,Економіст,хутір Родинське,"парк Південна, буд. 5, Київ, 55076",+380 80 768-76-78,kovpakmarusia@example.net
Вергун,Камілла,Степанівна,Ж,1954-07-16,Продюсер,селище Ананьїв,"провулок Юхима Фесенка, буд. 149, Зоринськ, 01322",339 71 27,viterfedir@example.org
Шовкопляс,Софія,Юріївна,Ж,1961-06-24,Круп'є,село Вінниця,"проспект Улицька, буд. 089 кв. 88, Хоростків, 33199",127-53-66,oleh96@example.net
Рудько,Владислав,Вікторович,Ч,1995-08-03,Патологоанатом,селище Конотоп,"проспект Сашка Хорошенка, буд. 4 кв. 5, Городенка, 60786",+380 (56) 737-81-70,halynabatiuk@example.net
Червоненко,Марта,Юріївна,Ж,1954-11-09,Бухгалтер,село Городище,"шосе Конструкторський, буд. 14, Снятин, 53276",674-23-55,tereshchenkoaaron@example.com
Гунько,Василина,Юріївна,Ж,1991-05-18,Бібліограф,село Мирноград,"вулиця Трамвайна, буд. 9, Сновськ, 73972",+380 91 212-38-66,bohuslavshynkarenko@example.org
Левченко,Любов,Романівна,Ж,1982-09-14,Соціолог,селище Монастирище,"вулиця Ткачова, буд. 62 кв. 077, Берислав, 60731",+380 69 800-89-50,havryloshynkarenko@example.net
Гайворонський,Аврелій,Петрович,Ч,1983-05-25,Акушер,селище Молочанськ,"вулиця Костанді 2-й, буд. 328 кв. 7, Бурштин, 60586",+380 82 853 07 96,emiliia95@example.org
Дзиндра,Костянтин,Тарасович,Ч,1989-09-13,Журналіст,місто Новодружеськ,"площа Світла, буд. 63, Барвінкове, 07870",+380 66 272-77-82,bshvedchenko@example.net
Калениченко,Руслан,Тарасович,Ч,1989-10-12,Ветеринар,село Сміла,"площа Різовська, буд. 914, Кам'янка-Бузька, 41127",+380 38 171-23-38,havrylyshynfeofan@example.net
Пушкар,Ганна,Василівна,Ж,1974-07-01,Реабілітолог,місто Каховка,"площа Кипарисний 1-й, буд. 421 кв. 108, Остер, 82269",+380 02 293-10-78,xriabovil@example.org
Дрозд,Василь,Іванович,Ч,1948-01-31,Кінорежисер,селище Южне,"шосе Заможна, буд. 36, Лубни, 64343",272-48-96,ofilipenko@example.com
Зайченко,Петро,Миколайович,Ч,2006-05-14,Хореограф,місто Кам'янка (Черкаська область),"провулок Павла Чубинського, буд. 489 кв. 94, Збараж, 12951",003 918 86 92,csalii@example.com
Зарудна,Пріска,Євгенівна,Ж,1972-04-16,Дипломат,село Шахтарське,"проспект Одеський, буд. 995, Перечин, 47021",+380 (67) 665-36-18,abramchukbohodar@example.net
Лукаш,Варфоломій,Тарасович,Ч,1978-02-24,Ветеринар,місто Рахів,"набережна Матеріальний 1-й, буд. 922, Перевальськ, 82509",285 26 58,hlib60@example.net
Масляк,Ігнат,Ігорович,Ч,1958-12-15,Конструктор,село Снігурівка,"площа Неплія, буд. 4 кв. 20, Южноукраїнськ, 53997",+380 33 870-07-91,fesenkoamvrosii@example.org
Данченко,Демʼян,Дмитрович,Ч,2005-06-17,Няня,місто Одеса,"парк Юрія Яновського, буд. 23, П'ятихатки, 16191",146 35 56,knosachenko@example.org
